pg_id,split,title,author,publication_year,official_landing_url,source_text_url,raw_path,clean_path,body_start_phrase,raw_bytes,clean_bytes,normalized_letter_count,fourgram_windows,raw_sha256,clean_sha256
1342,train,Pride and Prejudice,Jane Austen,1813,https://www.gutenberg.org/ebooks/1342,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,corpus/formal_minimum/raw/train/pg1342_pride_and_prejudice.txt,corpus/formal_minimum/train/pg1342_pride_and_prejudice.txt,It is a truth universally acknowledged,772386,696377,537204,537201,74f2665d6e6925fc2c17dec644bec9e87df478a0f1836822125e8acbb3777806,398e99b0198b4abc0925f177c3d3aafb8250a93d94e25963553b928c5e2ef67c
1400,train,Great Expectations,Charles Dickens,1861,https://www.gutenberg.org/ebooks/1400,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,corpus/formal_minimum/raw/train/pg1400_great_expectations.txt,corpus/formal_minimum/train/pg1400_great_expectations.txt,My father’s family name being Pirrip,1058204,1016561,761805,761802,9a637118af8e953e9764ec603d9b0a032883384d465acac2e27966a80cf1c6f8,4be86211700483c41726743a6754c220e331f5553ab4b1e0ad41527a6867f609
2701,train,"Moby-Dick; or, The Whale",Herman Melville,1851,https://www.gutenberg.org/ebooks/2701,https://www.gutenberg.org/cache/epub/2701/pg2701.txt,corpus/formal_minimum/raw/train/pg2701_moby_dick.txt,corpus/formal_minimum/train/pg2701_moby_dick.txt,Call me Ishmael.,1276263,1206348,935591,935588,9a6844ac0703853720010787c7b6c70b0020f1ab1862dcd74452fa46474d1215,52afe95d351ce146bd99f7cc6d925c0335017efa3a2ec5476d6660b56288bb05
1661,train,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,https://www.gutenberg.org/ebooks/1661,https://www.gutenberg.org/cache/epub/1661/pg1661.txt,corpus/formal_minimum/raw/train/pg1661_sherlock_holmes.txt,corpus/formal_minimum/train/pg1661_sherlock_holmes.txt,To Sherlock Holmes she is always _the_ woman.,607606,575153,431069,431066,922e2a12ccb43a4c9544c260b2166c6ad2097aeb5957faeee113f173bb857cd0,127c814ed3e8c8de524b6f61c414d6d7bd48379c7764814fb32d6525cdd65e25
84,train,"Frankenstein; or, The Modern Prometheus",Mary Wollstonecraft Shelley,1818,https://www.gutenberg.org/ebooks/84,https://www.gutenberg.org/cache/epub/84/pg84.txt,corpus/formal_minimum/raw/train/pg84_frankenstein.txt,corpus/formal_minimum/train/pg84_frankenstein.txt,You will rejoice to hear that no disaster has accompanied,448885,420903,332083,332080,7810cd483cffcf2cc8a1d8f0d5807931e69d4f48cd14149b8c76f88af82fead3,23704c9d7b5a525362ab057aadbbc54e362d31cb12142784116763fecc42e268
345,train,Dracula,Bram Stoker,1897,https://www.gutenberg.org/ebooks/345,https://www.gutenberg.org/cache/epub/345/pg345.txt,corpus/formal_minimum/raw/train/pg345_dracula.txt,corpus/formal_minimum/train/pg345_dracula.txt,_3 May. Bistritz._--Left Munich,890348,852553,641797,641794,96cd16eacdbfebae8fdda5591f66e0cc8ee76be18e0cd1aca02bc00615782d28,5c06dba23994d590dd30c9e101317644257f4b6917a2319d346e630d9a4bd2da
74,train,The Adventures of Tom Sawyer,Mark Twain,1876,https://www.gutenberg.org/ebooks/74,https://www.gutenberg.org/cache/epub/74/pg74.txt,corpus/formal_minimum/raw/train/pg74_tom_sawyer.txt,corpus/formal_minimum/train/pg74_tom_sawyer.txt,“Tom!”,434357,398526,295814,295811,74d77384b123a6360db9ab58463cff8b38df8525fbdc6000c81ee388e1f3cf10,c23ce5bf41bfafea7f5b05f5815351298ba34b1009c08cf7da03b66e88f02277
1260,train,Jane Eyre: An Autobiography,Charlotte Brontë,1847,https://www.gutenberg.org/ebooks/1260,https://www.gutenberg.org/cache/epub/1260/pg1260.txt,corpus/formal_minimum/raw/train/pg1260_jane_eyre.txt,corpus/formal_minimum/train/pg1260_jane_eyre.txt,There was no possibility of taking a walk that day.,1084803,1038289,783854,783851,13414dee2951c3ee731d76d2ffd822016b2479c892162760c5d0eb2aa5fa7631,880ac5184ea798c2399795c034fe2604ad261672af1fdc79c347aa59188afc4a
35,test,The Time Machine,H. G. Wells,1895,https://www.gutenberg.org/ebooks/35,https://www.gutenberg.org/cache/epub/35/pg35.txt,corpus/formal_minimum/raw/test/pg35_time_machine.txt,corpus/formal_minimum/test/pg35_time_machine.txt,The Time Traveller (for so it will be convenient to speak of him),204384,180944,140973,140970,2892e919000e17c83e1dac51b30f4675db50536b644d7579fe8a89bb399a9bdc,50a7c698e4259f9a06c2ec272d564e9d991667cd8910a5b0a1510cf63b348dba
120,test,Treasure Island,Robert Louis Stevenson,1883,https://www.gutenberg.org/ebooks/120,https://www.gutenberg.org/cache/epub/120/pg120.txt,corpus/formal_minimum/raw/test/pg120_treasure_island.txt,corpus/formal_minimum/test/pg120_treasure_island.txt,"Squire Trelawney, Dr. Livesey, and the rest of these gentlemen",399861,368723,274202,274199,20cfdba153743bca26a15028ebb470121cbb7173ddafd435de5c19a79e4bbf30,3b3c96e335a9057a757d9cc68c137df42084babd70effda43ddd7532be5c13c3
